system:index,rainfall,.geo
281,0.5255509122801499,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,0.7795721334174934,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,0.6289362817132701,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,0.5803046335457608,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,0.5885288020134661,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,0.6986409557280894,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,0.6032759347565,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,0.5303658136543873,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,0.7137737611994162,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,1.0413877564864913,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,0.8804881167852522,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,0.4779904533095362,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,0.34387811648989325,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,0.5414856700802297,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,0.6483824637846755,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,0.5283662231520202,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,0.6559097020438737,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,0.8556117696923432,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,0.5559029782637995,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,0.600382853343955,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,0.8059655427974602,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,0.751165040319981,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,0.7248163584185172,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,0.6565653486498791,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,0.6548015846319444,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,0.8344613237124057,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,0.7498794898873934,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,0.6469551550070809,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,0.74309138110645,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,0.6325690302395852,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,0.7225493056921313,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,0.7721058318159105,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,0.647180602554092,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,0.7637678326579724,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,0.6522739387539769,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,0.7109629768331792,"{""type"":""MultiPoint"",""coordinates"":[]}"
317,0.5474828861987295,"{""type"":""MultiPoint"",""coordinates"":[]}"
318,0.8421338319267706,"{""type"":""MultiPoint"",""coordinates"":[]}"
319,0.7513202167477372,"{""type"":""MultiPoint"",""coordinates"":[]}"
320,0.6904072075520257,"{""type"":""MultiPoint"",""coordinates"":[]}"
321,0.6377453168117213,"{""type"":""MultiPoint"",""coordinates"":[]}"
322,0.7486206887865393,"{""type"":""MultiPoint"",""coordinates"":[]}"
323,0.8440250089205102,"{""type"":""MultiPoint"",""coordinates"":[]}"
324,0.7301499795190954,"{""type"":""MultiPoint"",""coordinates"":[]}"
325,0.6519584265402032,"{""type"":""MultiPoint"",""coordinates"":[]}"
326,0.7040709227944336,"{""type"":""MultiPoint"",""coordinates"":[]}"
327,0.6896024487828617,"{""type"":""MultiPoint"",""coordinates"":[]}"
328,0.7002901495650796,"{""type"":""MultiPoint"",""coordinates"":[]}"
329,1.0371056840509247,"{""type"":""MultiPoint"",""coordinates"":[]}"
330,0.7234707415559731,"{""type"":""MultiPoint"",""coordinates"":[]}"
331,0.5581557959705141,"{""type"":""MultiPoint"",""coordinates"":[]}"
332,0.5670267131589727,"{""type"":""MultiPoint"",""coordinates"":[]}"
333,0.6146355955281024,"{""type"":""MultiPoint"",""coordinates"":[]}"
334,0.5834233607010356,"{""type"":""MultiPoint"",""coordinates"":[]}"
335,0.7311349939802523,"{""type"":""MultiPoint"",""coordinates"":[]}"
336,0.7163955900194676,"{""type"":""MultiPoint"",""coordinates"":[]}"
337,0.9355469326234876,"{""type"":""MultiPoint"",""coordinates"":[]}"
338,0.6697782762773268,"{""type"":""MultiPoint"",""coordinates"":[]}"
339,0.6942137513071752,"{""type"":""MultiPoint"",""coordinates"":[]}"
340,0.44943054993898773,"{""type"":""MultiPoint"",""coordinates"":[]}"
341,0.8856708024600688,"{""type"":""MultiPoint"",""coordinates"":[]}"
342,0.5750298059148675,"{""type"":""MultiPoint"",""coordinates"":[]}"
343,0.9680217586932521,"{""type"":""MultiPoint"",""coordinates"":[]}"
344,0.8901214644554625,"{""type"":""MultiPoint"",""coordinates"":[]}"
345,0.6858396359845605,"{""type"":""MultiPoint"",""coordinates"":[]}"
346,0.5097057458672763,"{""type"":""MultiPoint"",""coordinates"":[]}"
347,0.6722188194978594,"{""type"":""MultiPoint"",""coordinates"":[]}"
348,0.5061400295334728,"{""type"":""MultiPoint"",""coordinates"":[]}"
349,0.5982937241129119,"{""type"":""MultiPoint"",""coordinates"":[]}"
350,0.6771537161259786,"{""type"":""MultiPoint"",""coordinates"":[]}"
351,0.39592148921739806,"{""type"":""MultiPoint"",""coordinates"":[]}"
352,0.4395085219831101,"{""type"":""MultiPoint"",""coordinates"":[]}"
353,0.5197813036659624,"{""type"":""MultiPoint"",""coordinates"":[]}"
354,0.44965753489135596,"{""type"":""MultiPoint"",""coordinates"":[]}"
355,0.5237746296122149,"{""type"":""MultiPoint"",""coordinates"":[]}"
356,0.7147876703288469,"{""type"":""MultiPoint"",""coordinates"":[]}"
357,0.5658361184500419,"{""type"":""MultiPoint"",""coordinates"":[]}"
358,0.6798344334049461,"{""type"":""MultiPoint"",""coordinates"":[]}"
359,0.5202112646350314,"{""type"":""MultiPoint"",""coordinates"":[]}"
360,0.6475502484382846,"{""type"":""MultiPoint"",""coordinates"":[]}"
361,0.7187159805698722,"{""type"":""MultiPoint"",""coordinates"":[]}"
362,0.7130442237973755,"{""type"":""MultiPoint"",""coordinates"":[]}"
363,0.7187747270555289,"{""type"":""MultiPoint"",""coordinates"":[]}"
364,0.7189591942254655,"{""type"":""MultiPoint"",""coordinates"":[]}"
